#OPEN_EXPORT: 2023.05.05.1207
#Datum vytvoøení souboru: 14.02.2024 18:58
#Stažením publikovaných dat souhlasíte s podmínkami užití tìchto dat.

METADATA
Stanice ID;Jméno stanice;Zaèátek mìøení;Konec mìøení;Zemìpisná délka;Zemìpisná šíøka;Nadmoøská výška
B2BTUR01;Brno, Tuøany;01.01.1961;31.12.1996;16.6956;49.1597;241
B2BTUR01;Brno, Tuøany;01.01.1997;31.12.2023;16.688889;49.153056;241

PØÍSTROJE
Pøístroj;Zaèátek mìøení;Konec mìøení;Výška pøístroje [m]
Teplomìr;01.01.1961;31.12.1996;2
Teplotní èidlo;01.01.1997;31.10.2010;2
Teplotní èidlo;01.11.2010;31.12.2023;2.03

PRVEK
Prùmìrná denní teplota vzduchu [T.AVG, °C]

POPIS
Hodnota - mìsíèní hodnota prvku pro daný mìsíc
Datum - datum výskytu hodnoty
Pøíznak * u datumu znamená, že se hodnota vyskytla vícekrát
Pøíznak I znamená, že se výpoèet provedl z neúplných dat.

STATISTIKA
AVG - prùmìrná hodnota za mìsíc
SUM - souèet za mìsíc
MAX - maximální hodnota za mìsíc a den maxima
MIN - minimální hodnota za mìsíc a den minima

MÌSÍÈNÍ DATA
Rok;Statistika;Hodnota leden;Datum leden;Hodnota únor;Datum únor;Hodnota bøezen;Datum bøezen;Hodnota duben;Datum duben;Hodnota kvìten;Datum kvìten;Hodnota èerven;Datum èerven;Hodnota èervenec;Datum èervenec;Hodnota srpen;Datum srpen;Hodnota záøí;Datum záøí;Hodnota øíjen;Datum øíjen;Hodnota listopad;Datum listopad;Hodnota prosinec;Datum prosinec;Hodnota rok;Datum rok;
1987;MAX;4.6;01.01.1987;4.6;12.02.1987*;9.9;26.03.1987;15.8;30.04.1987;17.4;02.05.1987;23.5;30.06.1987;25.3;17.07.1987;21.8;24.08.1987;22.2;14.09.1987;17;11.10.1987;9.8;25.11.1987;9;29.12.1987;25.3;17.07.1987;
1987;MIN;-19.7;12.01.1987;-13.6;01.02.1987;-10;03.03.1987;3.5;01.04.1987;5.7;22.05.1987;10.3;18.06.1987;13.4;26.07.1987;11.2;05.08.1987*;7.6;30.09.1987;2;31.10.1987;.4;08.11.1987;-6.5;09.12.1987;-19.7;12.01.1987;
1988;AVG;1.6;;1.9;;2.5;;9.4;;15.7;;16.9;;19.7;;19.1;;14.4;;9.4;;.2;;1.6;;9.4;;
1988;MAX;6.6;05.01.1988;5.7;06.02.1988;9.5;30.03.1988;16;20.04.1988;18.6;15.05.1988*;22.1;30.06.1988;28.6;24.07.1988;25.5;15.08.1988;20;01.09.1988;16.8;14.10.1988;5.7;29.11.1988;8.3;11.12.1988;28.6;24.07.1988;
1988;MIN;-3;12.01.1988;-2.7;21.02.1988;-1.6;02.03.1988;3.3;24.04.1988;7.5;21.05.1988;12.1;23.06.1988;14.6;15.07.1988*;13.5;27.08.1988;10.1;16.09.1988;1;30.10.1988;-7.5;23.11.1988;-7.6;17.12.1988;-7.6;17.12.1988;
1989;AVG;-.1;;3.7;;6.9;;10.1;;14.6;;16.1;;19.7;;18.9;;15.2;;10.2;;2.3;;.2;;9.8;;
1989;MAX;4.5;16.01.1989;11.3;25.02.1989;14.3;31.03.1989;16.7;11.04.1989;19;18.05.1989;21;27.06.1989;24.7;08.07.1989;25.9;16.08.1989;20.8;19.09.1989;15.2;23.10.1989;11.9;01.11.1989;8.5;19.12.1989;25.9;16.08.1989;
1989;MIN;-4.2;04.01.1989;-.5;04.02.1989;3.7;02.03.1989;2;03.04.1989;8.3;06.05.1989;12.8;03.06.1989*;13.6;18.07.1989;12;29.08.1989;9.2;30.09.1989;6.4;04.10.1989;-8;30.11.1989;-7.3;11.12.1989;-8;30.11.1989;
1990;AVG;-.5;;4.2;;7.6;;8.3;;14.9;;17.2;;18.5;;19.9;;12.4;;10;;4.9;;-.5;;9.7;;
1990;MAX;5.6;21.01.1990;10.6;26.02.1990;14.6;22.03.1990;13.9;02.04.1990;18.5;11.05.1990;24;30.06.1990;24.2;30.07.1990;24.4;01.08.1990;17.8;01.09.1990;17.4;01.10.1990;10.1;17.11.1990;4.6;10.12.1990;24.4;01.08.1990;
